Type,Case-1_Image,Case-1_Mask,Case-1_diagnostics_Versions_PyRadiomics,Case-1_diagnostics_Versions_Numpy,Case-1_diagnostics_Versions_SimpleITK,Case-1_diagnostics_Versions_PyWavelet,Case-1_diagnostics_Versions_Python,Case-1_diagnostics_Configuration_Settings,Case-1_diagnostics_Configuration_EnabledImageTypes,Case-1_diagnostics_Image-original_Hash,Case-1_diagnostics_Image-original_Spacing,Case-1_diagnostics_Image-original_Size,Case-1_diagnostics_Image-original_Mean,Case-1_diagnostics_Image-original_Minimum,Case-1_diagnostics_Image-original_Maximum,Case-1_diagnostics_Mask-original_Hash,Case-1_diagnostics_Mask-original_Spacing,Case-1_diagnostics_Mask-original_Size,Case-1_diagnostics_Mask-original_BoundingBox,Case-1_diagnostics_Mask-original_VoxelNum,Case-1_diagnostics_Mask-original_VolumeNum,Case-1_diagnostics_Mask-original_CenterOfMassIndex,Case-1_diagnostics_Mask-original_CenterOfMass,Case-1_original_shape_VoxelVolume,Case-1_original_shape_Maximum3DDiameter,Case-1_original_shape_MeshVolume,Case-1_original_shape_MajorAxisLength,Case-1_original_shape_Sphericity,Case-1_original_shape_LeastAxisLength,Case-1_original_shape_Elongation,Case-1_original_shape_SurfaceVolumeRatio,Case-1_original_shape_Maximum2DDiameterSlice,Case-1_original_shape_Flatness,Case-1_original_shape_SurfaceArea,Case-1_original_shape_MinorAxisLength,Case-1_original_shape_Maximum2DDiameterColumn,Case-1_original_shape_Maximum2DDiameterRow,Case-1_original_gldm_GrayLevelVariance,Case-1_original_gldm_HighGrayLevelEmphasis,Case-1_original_gldm_DependenceEntropy,Case-1_original_gldm_DependenceNonUniformity,Case-1_original_gldm_GrayLevelNonUniformity,Case-1_original_gldm_SmallDependenceEmphasis,Case-1_original_gldm_SmallDependenceHighGrayLevelEmphasis,Case-1_original_gldm_DependenceNonUniformityNormalized,Case-1_original_gldm_LargeDependenceEmphasis,Case-1_original_gldm_LargeDependenceLowGrayLevelEmphasis,Case-1_original_gldm_DependenceVariance,Case-1_original_gldm_LargeDependenceHighGrayLevelEmphasis,Case-1_original_gldm_SmallDependenceLowGrayLevelEmphasis,Case-1_original_gldm_LowGrayLevelEmphasis,Case-1_original_glcm_JointAverage,Case-1_original_glcm_SumAverage,Case-1_original_glcm_JointEntropy,Case-1_original_glcm_ClusterShade,Case-1_original_glcm_MaximumProbability,Case-1_original_glcm_Idmn,Case-1_original_glcm_JointEnergy,Case-1_original_glcm_Contrast,Case-1_original_glcm_DifferenceEntropy,Case-1_original_glcm_InverseVariance,Case-1_original_glcm_DifferenceVariance,Case-1_original_glcm_Idn,Case-1_original_glcm_Idm,Case-1_original_glcm_Correlation,Case-1_original_glcm_Autocorrelation,Case-1_original_glcm_SumEntropy,Case-1_original_glcm_MCC,Case-1_original_glcm_SumSquares,Case-1_original_glcm_ClusterProminence,Case-1_original_glcm_Imc2,Case-1_original_glcm_Imc1,Case-1_original_glcm_DifferenceAverage,Case-1_original_glcm_Id,Case-1_original_glcm_ClusterTendency,Case-1_original_firstorder_InterquartileRange,Case-1_original_firstorder_Skewness,Case-1_original_firstorder_Uniformity,Case-1_original_firstorder_Median,Case-1_original_firstorder_Energy,Case-1_original_firstorder_RobustMeanAbsoluteDeviation,Case-1_original_firstorder_MeanAbsoluteDeviation,Case-1_original_firstorder_TotalEnergy,Case-1_original_firstorder_Maximum,Case-1_original_firstorder_RootMeanSquared,Case-1_original_firstorder_90Percentile,Case-1_original_firstorder_Minimum,Case-1_original_firstorder_Entropy,Case-1_original_firstorder_Range,Case-1_original_firstorder_Variance,Case-1_original_firstorder_10Percentile,Case-1_original_firstorder_Kurtosis,Case-1_original_firstorder_Mean,Case-1_original_glrlm_ShortRunLowGrayLevelEmphasis,Case-1_original_glrlm_GrayLevelVariance,Case-1_original_glrlm_LowGrayLevelRunEmphasis,Case-1_original_glrlm_GrayLevelNonUniformityNormalized,Case-1_original_glrlm_RunVariance,Case-1_original_glrlm_GrayLevelNonUniformity,Case-1_original_glrlm_LongRunEmphasis,Case-1_original_glrlm_ShortRunHighGrayLevelEmphasis,Case-1_original_glrlm_RunLengthNonUniformity,Case-1_original_glrlm_ShortRunEmphasis,Case-1_original_glrlm_LongRunHighGrayLevelEmphasis,Case-1_original_glrlm_RunPercentage,Case-1_original_glrlm_LongRunLowGrayLevelEmphasis,Case-1_original_glrlm_RunEntropy,Case-1_original_glrlm_HighGrayLevelRunEmphasis,Case-1_original_glrlm_RunLengthNonUniformityNormalized,Case-1_original_glszm_GrayLevelVariance,Case-1_original_glszm_ZoneVariance,Case-1_original_glszm_GrayLevelNonUniformityNormalized,Case-1_original_glszm_SizeZoneNonUniformityNormalized,Case-1_original_glszm_SizeZoneNonUniformity,Case-1_original_glszm_GrayLevelNonUniformity,Case-1_original_glszm_LargeAreaEmphasis,Case-1_original_glszm_SmallAreaHighGrayLevelEmphasis,Case-1_original_glszm_ZonePercentage,Case-1_original_glszm_LargeAreaLowGrayLevelEmphasis,Case-1_original_glszm_LargeAreaHighGrayLevelEmphasis,Case-1_original_glszm_HighGrayLevelZoneEmphasis,Case-1_original_glszm_SmallAreaEmphasis,Case-1_original_glszm_LowGrayLevelZoneEmphasis,Case-1_original_glszm_ZoneEntropy,Case-1_original_glszm_SmallAreaLowGrayLevelEmphasis,Case-1_original_ngtdm_Coarseness,Case-1_original_ngtdm_Complexity,Case-1_original_ngtdm_Strength,Case-1_original_ngtdm_Contrast,Case-1_original_ngtdm_Busyness
0, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_0_0.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_0_0.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, c798496afc0f8423f3595bec6c8f59dd5c4d98ee," (1.0, 1.0, 1.0)"," (512, 512, 1)",0.006145477294922,0,1, 2c60aa819841d8c17159027986cc029cc0f419b1," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (112, 136, 0, 400, 352, 1)",110472,1," (330.2537475559418, 323.4425736838294, 0.0)"," (330.2537475559418, 323.4425736838294, 0.0)",110472,493.089241416,110041.916667,452.339701252629,0.0500939018967,0,0.709808671434697,2.01455849209,493.089241416,0,221685.877707,321.074642383296,400,319,0,1,0.136106356185641,106925.168531393,110472,0.012600993027826,0.012600993027826,0.967893842162653,80.2929430081831,80.2929430081831,0.142215025497529,80.2929430081831,0.012600993027826,1,1,2,-3.20342650381492E-16,0,1,1,1,0,-3.20342650381492E-16,0,0,1,1,1,1,-3.20342650381492E-16,1,0,0,0,0,0,1,0,0,11.5060764118117,1,0,816,0,0.014663853764717,816,1,0.08594467449265,0,0,0,1,0.007331926882358,0,133.389794394449,0.007386487073648,0.062016709651088,0,1,1,14249.4494267157,653.25,54105.5367734455,0.062016709651088,36.0990370674176,0.062016709651088,54105.5367734455,0.00591326308929,54105.5367734455,5.50178845278434,1,0.06356358357025,0,0,1,1,1,1,12204062784,8.19399258836196E-11,9.05206749221522E-06,12204062784,12204062784,1,8.19399258836196E-11,1,-3.20342650381492E-16,8.19399258836196E-11,1000000,0,0,0,0
0, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_0_10.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_0_10.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, dc7101bfbd746d5fc88c535a15812f26b01e2d2a," (1.0, 1.0, 1.0)"," (512, 512, 1)",0.000720977783203,0,1, 599e03c491dbf7f621d0093197ee15cf7fc26d98," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (160, 128, 0, 352, 328, 1)",92880,1," (352.20340223944874, 301.34138673557277, 0.0)"," (352.20340223944874, 301.34138673557277, 0.0)",92880,441.145100846,92470.9166667,392.84276203707,0.0530320071111,0,0.79018729277221,2.01655933875,441.145100846,0,186473.090567,310.41935861923,352,303,0,1,0.153567115085277,89488.3804694229,92880,0.012634490943174,0.012634490943174,0.963483855183278,80.1999354005168,80.1999354005168,0.160250385130137,80.1999354005168,0.012634490943174,1,1,2,-3.20342650381492E-16,0,1,1,1,0,-3.20342650381492E-16,0,0,1,1,1,1,-3.20342650381492E-16,1,0,0,0,0,0,1,0,0,215.492459314784,1,0,2,0,4.30653947820384E-05,2,1,0.004640383719914,0,0,0,1,2.15326973910192E-05,0,46438.0000215336,2.15331610680448E-05,0.072272053659388,0,1,1,13294.5594160983,621.25,43265.7977494476,0.072272053659388,35.2157112011738,0.072272053659388,43265.7977494476,0.006688738156761,43265.7977494476,5.39994131150958,1,0.064704512989768,0,0,1,1,1,1,8626694400,1.1591925639559E-10,1.07665805340224E-05,8626694400,8626694400,1,1.1591925639559E-10,1,-3.20342650381492E-16,1.1591925639559E-10,1000000,0,0,0,0
0, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_0_12.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_0_12.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, 14341d7f7a2c18b6a406413da1ebf0841c7d8b87," (1.0, 1.0, 1.0)"," (512, 512, 1)",0.009056091308594,0,1, f49c5e2fe03627be6c0c4cf6cb182135ba68900f," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (56, 120, 0, 456, 336, 1)",111592,1," (297.4611083231773, 293.5875331564987, 0.0)"," (297.4611083231773, 293.5875331564987, 0.0)",111592,529.74050251,111132,511.127829818553,0.049908002839,0,0.559099796742393,2.01542924729,529.74050251,0,223978.68311,285.771465760933,456,288,0,1,0.14256546954115,107796.048462255,111592,0.012615237948007,0.012615237948007,0.965983658884645,80.2506631299735,80.2506631299735,0.150152149097816,80.2506631299735,0.012615237948007,1,1,2,-3.20342650381492E-16,0,1,1,1,0,-3.20342650381492E-16,0,0,1,1,1,1,-3.20342650381492E-16,1,0,0,0,0,0,1,0,0,9.97877859600189,1,0,1088,0,0.019309488395148,1088,1,0.098741089994243,0,0,0,1,0.009654744197574,0,100.576022268026,0.009749802853251,0.062390870393032,0,1,1,14537.5889271743,699,53457.8397543392,0.062390870393032,36.0416606298154,0.062390870393032,53457.8397543392,0.00626388988458,53457.8397543392,5.51038484875022,1,0.054874033125519,0,0,1,1,1,1,12452774464,8.03033896495052E-11,8.96121585776758E-06,12452774464,12452774464,1,8.03033896495052E-11,1,-3.20342650381492E-16,8.03033896495052E-11,1000000,0,0,0,0
0, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_0_14.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_0_14.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, 17a600e378f0485dedd5bcadb1a0be24585b590d," (1.0, 1.0, 1.0)"," (512, 512, 1)",0.00360107421875,0,1, 181e2218b7fe5fb2cd5f66f2786ae4dcf44e48d3," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (83, 160, 0, 429, 315, 1)",103304,1," (314.0663285061566, 323.4568264539611, 0.0)"," (314.0663285061566, 323.4568264539611, 0.0)",103304,509.981372209,102849.083333,483.303176023807,0.051187577123,0,0.5835045236886,2.0164435845,509.981372209,0,207389.374259,282.009589522959,429,276,0,1,0.149656898809173,99574.7170487106,103304,0.012634394069735,0.012634394069735,0.963899917222088,80.2012893982808,80.2012893982808,0.160601986895976,80.2012893982808,0.012634394069735,1,1,2,-3.20342650381492E-16,0,1,1,1,0,-3.20342650381492E-16,0,0,1,1,1,1,-3.20342650381492E-16,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074203446344124,0,1,1,14629.4258904254,690.25,46510.5010556376,0.074203446344124,42.2039159523112,0.074203446344124,46510.5010556376,0.006681735460389,46510.5010556376,5.34521081493588,1,0.065254569444491,0,0,1,1,1,1,10671716416,9.37056384388841E-11,9.68016727329048E-06,10671716416,10671716416,1,9.37056384388841E-11,1,-3.20342650381492E-16,9.37056384388841E-11,1000000,0,0,0,0
0, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_0_16.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_0_16.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, 174341f685a240fa43b26b77ae8f5037324c71a4," (1.0, 1.0, 1.0)"," (512, 512, 1)",2.288818359375E-05,0,1, e6b2795ed788d18b6971ea2e04627265b30ed8b4," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (56, 179, 0, 456, 261, 1)",99976,1," (297.33880131231496, 317.8376010242458, 0.0)"," (297.33880131231496, 317.8376010242458, 0.0)",99976,507.05423773,99576.8333333,505.791161354006,0.0517829362282,0,0.512132270751237,2.01485910265,507.05423773,0,200633.289055,259.031975990132,456,240,0,1,0.134329311858803,96735.3722493398,99976,0.012602850531318,0.012602850531318,0.967585943119747,80.2782267744259,80.2782267744259,0.144427006244002,80.2782267744259,0.012602850531318,1,1,2,-3.20342650381492E-16,0,1,1,1,0,-3.20342650381492E-16,0,0,1,1,1,1,-3.20342650381492E-16,1,0,0,0,0,0,1,0,0,223.573254259102,1,0,2,0,4.00088019204148E-05,2,1,0.004472672707932,0,0,0,1,2.00044009602074E-05,0,49986.0000200051,2.00048011522765E-05,0.048193115386731,0,1,1,12094.7718263866,603,56399.3680017717,0.048193115386731,37.7497846264017,0.048193115386731,56399.3680017717,0.006031447547411,56399.3680017717,5.17695377786411,1,0.073171124475063,0,0,1,1,1,1,9995200576,1.00048017285531E-10,1.00024005761383E-05,9995200576,9995200576,1,1.00048017285531E-10,1,-3.20342650381492E-16,1.00048017285531E-10,1000000,0,0,0,0
0, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_0_18.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_0_18.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, 6add3025962c5e2a28c4fb337719f9661022ded1," (1.0, 1.0, 1.0)"," (512, 512, 1)",0.005496978759766,0,1, 85f4797d12300543f6a6e2fb0bbea3402a3b54d1," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (85, 216, 0, 427, 296, 1)",101680,1," (314.3070023603462, 367.94429583005507, 0.0)"," (314.3070023603462, 367.94429583005507, 0.0)",101680,490.698481758,101300.666667,464.024627012108,0.0515119490415,0,0.609282049351988,2.01390373585,490.698481758,0,204009.791044,282.721875695729,427,290,0,1,0.129705092024755,98565.8110936271,101680,0.012589698234686,0.012589698234686,0.969372650409393,80.3229543666405,80.3229543666405,0.13628395860635,80.3229543666405,0.012589698234686,1,1,2,-3.20342650381492E-16,0,1,1,1,0,-3.20342650381492E-16,0,0,1,1,1,1,-3.20342650381492E-16,1,0,0,0,0,0,1,0,0,13.6640693760117,1,0,536,0,0.010487303466979,536,1,0.072604681744171,0,0,0,1,0.005243651733489,0,187.706791912462,0.005271439811172,0.045990245927941,0,1,1,10278.4067010885,575.75,55808.8197195428,0.045990245927941,18.6482423928516,0.045990245927941,55808.8197195428,0.005662372147915,55808.8197195428,5.68733155743954,1,0.034950002504893,0,0,1,1,1,1,10338822400,9.67228143893835E-11,9.83477576711251E-06,10338822400,10338822400,1,9.67228143893835E-11,1,-3.20342650381492E-16,9.67228143893835E-11,1000000,0,0,0,0
0, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_0_20.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_0_20.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, e0027f955077b0ff1b7d7c23f417a000e8a2daab," (1.0, 1.0, 1.0)"," (512, 512, 1)",0.000606536865234,0,1, 7664918d4e6858f33f33c60929d92dd085ecc806," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (91, 152, 0, 421, 296, 1)",103808,1," (320.13366985203453, 303.771848027127, 0.0)"," (320.13366985203453, 303.771848027127, 0.0)",103808,481.133037735,103395.083333,456.302392169918,0.051138593249,0,0.653224704235917,2.01481597185,481.133037735,0,208322.065311,298.067995167336,421,285,0,1,0.135477410870855,100440.523177404,103808,0.012603550332866,0.012603550332866,0.967560526909337,80.2800747533909,80.2800747533909,0.144395069760179,80.2800747533909,0.012603550332866,1,1,2,-3.20342650381492E-16,0,1,1,1,0,-3.20342650381492E-16,0,0,1,1,1,1,-3.20342650381492E-16,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059126060143742,0,1,1,13150.6435090356,624.75,53937.621166444,0.059126060143742,36.3424561028085,0.059126060143742,53937.621166444,0.0060183222873,53937.621166444,5.43161251952829,1,0.066257013163564,0,0,1,1,1,1,10776100864,9.27979435809409E-11,9.63316892725031E-06,10776100864,10776100864,1,9.27979435809409E-11,1,-3.20342650381492E-16,9.27979435809409E-11,1000000,0,0,0,0
0, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_0_22.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_0_22.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, 8184ec3e391656f6457a3cf746c6c44281942ffd," (1.0, 1.0, 1.0)"," (512, 512, 1)",7.62939453125E-05,0,1, d4952cd69313d23decbf933d77ddc2e68ab94825," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (72, 147, 0, 440, 354, 1)",124608,1," (316.3016820749872, 334.96180020544426, 0.0)"," (316.3016820749872, 334.96180020544426, 0.0)",124608,513.688621638,124140.25,479.584776767607,0.0481341979772,0,0.709876175338624,2.01400021557,513.688621638,0,250018.490261,340.445807082417,440,336,0,1,0.131224422958548,120771.197403056,124608,0.012591382133706,0.012591382133706,0.969209018707113,80.3201239085773,80.3201239085773,0.137101949402077,80.3201239085773,0.012591382133706,1,1,2,-3.20342650381492E-16,0,1,1,1,0,-3.20342650381492E-16,0,0,1,1,1,1,-3.20342650381492E-16,1,0,0,0,0,0,1,0,0,101.887192994563,1,0,12,0,0.000192585458012,12,1,0.009813358399736,0,0,0,1,9.62927290058665E-05,0,10382.0000963113,9.63020030816641E-05,0.0673946140076,0,1,1,15926.1027257746,708.75,61591.4044327579,0.0673946140076,37.1964291610882,0.0673946140076,61591.4044327579,0.005687837057011,61591.4044327579,5.61509106897837,1,0.056043894621194,0,0,1,1,1,1,15527153664,6.44033041495892E-11,8.02516692347201E-06,15527153664,15527153664,1,6.44033041495892E-11,1,-3.20342650381492E-16,6.44033041495892E-11,1000000,0,0,0,0
0, /home/rajarshi/Desktop/jsrt_scr/img_nrrd/img_jsrt_0_24.nrrd, /home/rajarshi/Desktop/jsrt_scr/msk_nrrd/msk_jsrt_0_24.nrrd, 2.1.2, 1.15.4, 1.1.0, 1.0.0, 2.7.12," {'distances': [1], 'additionalInfo': True, 'force2D': False, 'interpolator': 'sitkBSpline', 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'minimumROIDimensions': 2, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}", {'Original': {}}, 26ba73502ca9a9a55643da20050be10d1c949d59," (1.0, 1.0, 1.0)"," (512, 512, 1)",0.008087158203125,0,1, 9948702bfae767eeba6f1f1f724d395fdc812d4a," (1.0, 1.0, 1.0)"," (512, 512, 1)"," (40, 136, 0, 472, 328, 1)",128168,1," (295.5440671618501, 311.971162848761, 0.0)"," (295.5440671618501, 311.971162848761, 0.0)",128168,545.586840017,127711.166667,519.403964348196,0.0476978006938,0,0.623627633640974,2.01330456927,545.586840017,0,257121.475397,323.914665190206,472,307,0,1,0.124845932488087,124416.199987516,128168,0.012577366897895,0.012577366897895,0.970727482581584,80.3535671930591,80.3535671930591,0.129740154884801,80.3535671930591,0.012577366897895,1,1,2,-3.20342650381492E-16,0,1,1,1,0,-3.20342650381492E-16,0,0,1,1,1,1,-3.20342650381492E-16,1,0,0,0,0,0,1,0,0,10.4518019339006,1,0,1142,0,0.017661578147379,1142,1,0.094393751849582,0,0,0,1,0.008830789073689,0,110.240163665488,0.00891018038824,0.056020863741822,0,1,1,15230.4272880829,692.5,68583.8669209655,0.056020863741822,36.6727315725968,0.056020863741822,68583.8669209655,0.005403064727545,68583.8669209655,5.54627892326361,1,0.059474228423378,0,0,1,1,1,1,16427036224,6.08752538415295E-11,7.80225953436115E-06,16427036224,16427036224,1,6.08752538415295E-11,1,-3.20342650381492E-16,6.08752538415295E-11,1000000,0,0,0,0
